./stealing;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
9;0,0002333;0,0002304;0,0002412;0,0002689;0,0018020;0,0002758;0,0013511;0,0004384;0,0012698;0,0009891;0,0006806;0,0006662;0,0011164;0,0012181;0,0005004
10;0,0002053;0,0002576;0,0002510;0,0005669;0,0005197;0,0018004;0,0012225;0,0006235;0,0019603;0,000398;0,0016105;0,0011428;0,0010129;0,0012123;0,0023661
11;0,0003041;0,0002858;0,000267;0,0003560;0,0016634;0,0020480;0,0018771;0,0030678;0,0023935;0,0019505;0,0020071;0,0010613;0,0018237;0,0028983;0,0009984
12;0,0004224;0,0003566;0,0003426;0,0003986;0,0004571;0,0019923;0,0016556;0,0013512;0,0014929;0,0020460;0,0009919;0,0011687;0,0015356;0,00202;0,0022218
13;0,0007103;0,0005839;0,0004973;0,0005204;0,0007016;0,0009109;0,0021301;0,0016286;0,0020775;0,0019563;0,0020995;0,0024135;0,0019428;0,0036242;0,0014849
14;0,0013242;0,0009003;0,0008272;0,0008608;0,0008585;0,0012176;0,0013190;0,0010343;0,001233;0,0025139;0,0014095;0,0024146;0,0027301;0,0019528;0,0026410
15;0,0025434;0,0018723;0,0014941;0,0014103;0,0019081;0,0017121;0,0017647;0,0021474;0,0018587;0,0019256;0,002248;0,0020934;0,0026132;0,0032025;0,0029728
16;0,0051648;0,003417;0,0028443;0,0027717;0,0031753;0,0029178;0,0029924;0,0028461;0,0031227;0,0030445;0,0032303;0,0030851;0,0034142;0,0034454;0,0032635
17;0,0105846;0,0076370;0,0056048;0,005282;0,0053815;0,0055984;0,0054765;0,0054783;0,0057946;0,0058816;0,0063461;0,006051;0,0060998;0,0076416;0,0078245
18;0,0219809;0,0149773;0,0115398;0,0107143;0,0107706;0,0108424;0,0108574;0,0108035;0,0112506;0,0118442;0,0123727;0,0127604;0,0126643;0,0142164;0,0134977
19;0,0453205;0,0315426;0,0237168;0,0217984;0,0217705;0,0218334;0,021891;0,0219914;0,0221274;0,0225514;0,023042;0,0240705;0,0241845;0,023615;0,0266903
20;0,0952181;0,0613;0,0510049;0,0455321;0,0450828;0,0449699;0,0451591;0,0452967;0,0451356;0,0456359;0,0461361;0,0475501;0,047491;0,0485678;0,0509328
21;0,1957463;0,1313227;0,1088382;0,0934417;0,0934436;0,0938844;0,09334;0,0940417;0,0947087;0,094489;0,0958474;0,0988065;0,0963236;0,0985126;0,0999805
22;0,4056563;0,2823797;0,2287775;0,1920703;0,1969705;0,2061368;0,1968253;0,1942993;0,1957443;0,1970269;0,2028106;0,2035423;0,2061397;0,2031648;0,2111827
23;0,8617573;0,5925103;0,4576802;0,3997895;0,4041386;0,4025352;0,407803;0,4041879;0,4089197;0,4121156;0,4173737;0,4137960;0,4252794;0,4279861;0,4331515
24;1,7664075;1,2738063;1,1107182;0,8237573;0,8308864;0,8284791;0,8342993;0,8376467;0,8352958;0,8379619;0,8522717;0,8726262;0,8677474;0,8958631;0,9009163
